code,nick,date,open,highest,lowest,close,ROI,changerange
0050,台灣50,20120619,50.00,50.10,49.86,49.91,-0.5777,-0.29
0050,台灣50,20120620,50.15,50.45,50.15,50.45,1.0819,0.54
0050,台灣50,20120621,50.20,50.30,49.88,50.15,-0.5946,-0.30
0050,台灣50,20120622,49.20,49.62,49.20,49.56,-1.1765,-0.59
0050,台灣50,20120625,49.04,49.29,49.03,49.20,-0.7264,-0.36
0050,台灣50,20120626,49.00,49.10,48.85,48.99,-0.4268,-0.21
0050,台灣50,20120627,48.88,49.50,48.86,49.45,0.9390,0.46
0050,台灣50,20120628,49.70,49.75,49.43,49.53,0.1618,0.08
0050,台灣50,20120629,49.48,50.30,49.35,50.20,1.3527,0.67
0050,台灣50,20120702,50.50,50.70,50.30,50.60,0.7968,0.40
0050,台灣50,20120703,50.80,51.50,50.75,51.20,1.1858,0.60
0050,台灣50,20120704,51.45,51.75,51.25,51.40,0.3906,0.20
0050,台灣50,20120705,51.45,51.65,51.25,51.30,-0.1946,-0.10
0050,台灣50,20120706,51.45,51.55,50.95,51.00,-0.5848,-0.30
0050,台灣50,20120709,50.80,51.05,50.65,50.95,-0.0980,-0.05
0050,台灣50,20120710,50.95,51.00,50.30,50.40,-1.0795,-0.55
0050,台灣50,20120711,50.30,50.55,50.15,50.55,0.2976,0.15
0050,台灣50,20120712,50.45,50.50,49.55,49.65,-1.7804,-0.90
0050,台灣50,20120713,49.50,49.70,49.35,49.50,-0.3021,-0.15
0050,台灣50,20120716,49.75,49.80,49.25,49.50,0.0000,0.00
0050,台灣50,20120717,49.50,50.05,49.40,49.85,0.7071,0.35
0050,台灣50,20120718,49.80,49.80,49.18,49.20,-1.3039,-0.65
0050,台灣50,20120719,49.70,50.30,49.66,50.20,2.0325,1.00
0050,台灣50,20120720,50.15,50.25,49.95,50.15,-0.0996,-0.05
0050,台灣50,20120723,49.65,49.70,49.04,49.25,-1.7946,-0.90
0050,台灣50,20120724,49.20,49.20,48.89,49.12,-0.2640,-0.13
0050,台灣50,20120725,48.82,49.21,48.51,48.86,-0.5293,-0.26
0050,台灣50,20120726,49.33,49.33,48.78,48.94,0.1637,0.08
0050,台灣50,20120727,49.50,49.95,49.35,49.92,2.0025,0.98
0050,台灣50,20120730,50.00,50.55,50.00,50.25,0.6611,0.33
0050,台灣50,20120731,50.50,51.10,50.10,51.10,1.6915,0.85
0050,台灣50,20120801,50.90,51.30,50.80,51.20,0.1957,0.10
0050,台灣50,20120803,50.75,50.90,50.55,50.90,-0.5859,-0.30
0050,台灣50,20120806,51.90,52.00,51.45,51.55,1.2770,0.65
0050,台灣50,20120807,51.60,51.65,51.40,51.60,0.0970,0.05
0050,台灣50,20120808,51.95,52.20,51.70,51.75,0.2907,0.15
0050,台灣50,20120809,52.10,52.90,52.10,52.85,2.1256,1.10
0050,台灣50,20120810,52.85,53.05,52.75,52.80,-0.0946,-0.05
0050,台灣50,20120813,53.00,53.25,52.95,53.00,0.3788,0.20
0050,台灣50,20120814,53.10,53.55,53.00,53.25,0.4717,0.25
0050,台灣50,20120815,53.20,53.40,52.95,53.05,-0.3756,-0.20
0050,台灣50,20120816,53.10,53.50,53.00,53.20,0.2828,0.15
0050,台灣50,20120817,53.35,53.35,52.95,52.95,-0.4699,-0.25
0050,台灣50,20120820,52.85,53.05,52.55,52.80,-0.2833,-0.15
0050,台灣50,20120821,52.95,53.80,52.95,53.40,1.1364,0.60
0050,台灣50,20120822,53.35,53.40,53.00,53.35,-0.0936,-0.05
0050,台灣50,20120823,53.20,53.50,53.15,53.30,-0.0937,-0.05
0050,台灣50,20120824,53.00,53.20,52.95,53.10,-0.3752,-0.20
0050,台灣50,20120827,53.45,53.55,53.00,53.20,0.1883,0.10
0050,台灣50,20120828,52.95,52.95,52.45,52.50,-1.3158,-0.70
0050,台灣50,20120829,52.40,52.80,52.40,52.70,0.3810,0.20
0050,台灣50,20120830,52.45,52.70,52.40,52.55,-0.2846,-0.15
0050,台灣50,20120831,52.50,52.85,52.45,52.75,0.3806,0.20
0050,台灣50,20120903,52.70,53.25,52.70,53.15,0.7583,0.40
0050,台灣50,20120904,53.15,53.30,53.00,53.05,-0.1881,-0.10
0050,台灣50,20120905,52.90,52.90,52.35,52.35,-1.3195,-0.70
0050,台灣50,20120906,52.30,52.50,51.90,52.15,-0.3820,-0.20
0050,台灣50,20120907,53.10,53.20,52.80,52.95,1.5340,0.80
0050,台灣50,20120910,52.95,53.35,52.90,53.35,0.7554,0.40
0050,台灣50,20120911,53.35,53.50,53.25,53.30,-0.0937,-0.05
0050,台灣50,20120912,53.75,54.15,53.75,54.05,1.4071,0.75
0050,台灣50,20120913,54.20,54.30,54.05,54.15,0.1850,0.10
0050,台灣50,20120914,54.80,55.60,54.80,55.50,2.4931,1.35
0050,台灣50,20120917,55.50,55.80,55.35,55.60,0.1802,0.10
0050,台灣50,20120918,55.50,55.60,55.25,55.40,-0.3597,-0.20
0050,台灣50,20120919,55.45,55.75,55.35,55.65,0.4513,0.25
0050,台灣50,20120920,55.55,55.65,55.10,55.25,-0.7188,-0.40
0050,台灣50,20120921,55.35,55.60,55.35,55.45,0.3620,0.20
0050,台灣50,20120924,55.30,55.70,54.95,55.50,0.0902,0.05
0050,台灣50,20120925,55.60,55.65,55.25,55.30,-0.3604,-0.20
0050,台灣50,20120926,54.90,55.15,54.75,54.90,-0.7233,-0.40
0050,台灣50,20120927,54.80,55.15,54.80,55.10,0.3643,0.20
0050,台灣50,20120928,55.25,55.35,54.80,55.15,0.0907,0.05
0050,台灣50,20121001,55.00,55.10,54.75,55.00,-0.2720,-0.15
0050,台灣50,20121002,55.10,55.35,54.95,55.25,0.4545,0.25
0050,台灣50,20121003,55.25,55.30,54.90,55.00,-0.4525,-0.25
0050,台灣50,20121004,55.00,55.10,54.50,55.05,0.0909,0.05
0050,台灣50,20121005,55.00,55.30,55.00,55.10,0.0908,0.05
0050,台灣50,20121008,55.00,55.05,54.55,54.65,-0.8167,-0.45
0050,台灣50,20121009,54.75,54.75,54.40,54.40,-0.4575,-0.25
0050,台灣50,20121011,53.70,53.70,53.20,53.30,-2.0221,-1.10
0050,台灣50,20121012,53.30,53.40,52.90,53.15,-0.2814,-0.15
0050,台灣50,20121015,53.05,53.25,53.00,53.25,0.1881,0.10
0050,台灣50,20121016,53.40,53.50,53.30,53.50,0.4695,0.25
0050,台灣50,20121017,53.90,53.90,53.30,53.40,-0.1869,-0.10
0050,台灣50,20121018,53.70,53.80,53.45,53.65,0.4682,0.25
0050,台灣50,20121019,53.60,53.60,53.05,53.25,-0.7456,-0.40
0050,台灣50,20121022,52.60,52.90,52.40,52.90,-0.6573,-0.35
0050,台灣50,20121023,52.90,53.10,52.65,52.90,0.0000,0.00
0050,台灣50,20121024,50.55,51.00,50.45,51.00,-0.0945,-1.90
0050,台灣50,20121025,50.95,50.95,50.45,50.50,-0.9804,-0.50
